idDocument,document
573,Eu_nao_quero_voltar_sozinho_AD_v01
1078,doc_ENQVS_áudio_PTBr
615,Audiodescrição_alternativa_ENQVS
614,A Árvore do Dinheiro
618,"A Onda Traz, O Vento Leva"
638,As aventuras de Pety_animação
617,Ave Maria ou Mãe dos Sertanejos
619,Cinema Gloria
620,Clandestina Felicidade
627,Fora de época
631,Glênio
621,N27
626,O cuidado vem da terra
641,O Mistério do Boi de Mamão_ficção
642,O sumiço da Coroa_ficção
643,Qual queijo você quer_ficção
622,Recife de Dentro pra Fora
628,Redoma ad mixada
623,Salu e o Cavalo Marinho
630,Santo às cegas
644,Crisálida_ficção
625,Pela Luz dos Olhos Teus
629,Por entre as frestas
1711,Vencer_o_câncer_é mais_fácil_quando_se_está_cercado_de_amor
1714,Na batida de um coração
