idCorpus;name
;
;
21;ALEMIG
;
99;Audiodescrição_alternativa_ENQVS
136;Audition
;
31;BrazilTour
;
4;Cetenfolha
5;cetenfolha1
6;cetenfolha2
7;cetenfolha3
8;cetenfolha4
11;cetenfolha_ludmila
;
48;Copa 2014 FN-Br
;
;
;
;
;
;
;
;
;
;
;
;
;
;
73;crp_alcantara_annotation_experiment
66;crp_alex_annotations
77;crp_anotacao_barbara_anafora
;
;
87;crp_csf_anotação
151;crp_examples
78;crp_legenda_pt.br
78;crp_legenda_pt.br
79;crp_legenda_pt.br
57;crp_m.knob_pt_br
63;crp_mfn_ted_talk
56;crp_mknob
;
;
;
;
64;crp_test_cxn
;
;
;
;
;
;
92;Curta-metragem_ENQVS
;
;
44;Domínio_Público
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
153;EventFrame_Test
157;EventFrame_Test_com_sentença
158;EventFrame_Test_sem_sentença
;
;
;
201;É_assim_que_acaba
46;FIFA
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
65;generAL
;
62;Interrogativa QU
;
;
;
61;Metonimia
;
;
;
;
22;NURC_RJ
;
82;Pedro pelo Mundo
;
;
;
;
67;Portuguese Web 2011
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
55;Revista_Brasil
;
;
;
;
43;Texto_corrido
