property,domain,range
actsFor,Agent,SocialAgent
actsThrough,SocialAgent,Agent
associatedWith,Entity1,Entity2
characterizes,Concept,Collection
classifies,Concept,Entity
conceptualizes,Agent,SocialObject
concretelyExpresses,InformationRealization,SocialObject
coparticipatesWith,Object1,Object2
covers,Concept,Collection
defines,Description,Concept
definesRole,Description,Role
definesTask,Description,Task
describes,Description,Entity
directlyFollows,Entity1,Entity2
directlyPrecedes,Entity1,Entity2
executesTask,Action,Task
expands,Description1,Description2
expresses,InformationObject,SocialObject
expressesConcept,InformationObject,Concept
farFrom,Entity1,Entity2
follows,Entity1,Entity2
hasCommonBoundary,Entity1,Entity2
hasComponent,Entity1,Entity2
hasConstituent,Entity1,Entity2
hasConstraint,Entity,Parameter
hasLocation,Entity1,Entity2
hasMember,Collection,Entity
hasParameter,Concept,Parameter
hasPart,Entity1,Entity2
hasParticipant,Event,Object
hasPostcondition,Entity1,Entity2
hasPrecondition,Entity1,Entity2
hasProperPart,Entity1,Entity2
hasQuality,Entity,Quality
hasRegion,Entity,Region
hasRole,Object,Role
hasSetting,Entity,Situation
hasTask,Role,Task
hasTimeInterval,Event,TimeInterval
includesAction,Situation,Action
includesAgent,Situation,Agent
includesEvent,Situation,Event
includesObject,Situation,Object
includesPart,Entity1,Entity2
includesTime,Situation,TimeInterval
includesWhole,Entity1,Entity2
introduces,Description,SocialAgent
involvesAgent,Event,Agent
isAbout,InformationObject,Entity
isActionIncludedIn,Action,Situation
isAgentIncludedIn,Agent,Situation
isAgentInvolvedIn,Agent,Event
isCharacterizedBy,Collection,Concept
isClassifiedBy,Entity,Concept
isComponentOf,Entity1,Entity2
isConceptExpressedBy,Concept,InformationObject
isConceptUsedIn,Concept,Description
isConceptualizedBy,SocialObject,Agent
isConcretelyExpressedBy,SocialObject,InformationRealization
isConstituentOf,Entity1,Entity2
isConstraintFor,Parameter,Entity
isCoveredBy,Collection,Concept
isDefinedIn,Concept,Description
isDescribedBy,Entity,Description
isEventIncludedIn,Event,Situation
isExecutedIn,Task,Action
isExpandedIn,Description1,Description2
isExpressedBy,SocialObject,InformationObject
isIntroducedBy,SocialAgent,Description
isLocationOf,Entity1,Entity2
isMemberOf,Entity,Collection
isObjectIncludedIn,Object,Situation
isObservableAt,Entity,TimeInterval
isParameterFor,Parameter,Concept
isParametrizedBy,Region,Parameter
isPartOf,Entity1,Entity2
isParticipantIn,Object,Event
isPostconditionOf,Entity1,Entity2
isPreconditionOf,Entity1,Entity2
isPropertPartOf,Entity1,Entity2
isQualityOf,Quality,Entity
isRealizedBy,InformationObject,InformationRealization
isReferenceOf,Entity,InformationObject
isReferenceOfInformationRealizedBy,Entity,InformationRealization
isRegionFor,Region,Entity
isRelatedToConcept,Concept1,Concept2
isRelatedToDescription,Description1,Description2
isRoleDefinedIn,Role,Description
isRoleOf,Role,Object
isSatisfiedBy,Description,Situation
isSettingFor,Situation,Entity
isSpecializedBy,SocialObject1,SocialObject2
isSubordinatedTo,Concept1,Concept2
isSuperordinatedTo,Concept1,Concept2
isTaskDefinedIn,Task,Description
isTaskOf,Task,Role
isTimeIncludedIn,TimeInterval,Situation
isTimeIntervalOf,TimeInterval,Event
isTimeOfObservationOf,TimeInterval,Entity
isUnifiedBy,Collection,Description
nearTo,Entity1,Entity2
overlaps,Entity1,Entity2
parametrizes,Parameter,Region
precedes,Entity1,Entity2
realizes,InformationRealization,InformationObject
realizesInformationAbout,InformationRealization,Entity
realizesSelfInformation,Entity1,Entity2
sameSettingAs,Entity1,Entity2
satisfies,Situation,Description
specializes,SocialObject,SocialObject
unifies,Description,Collection
usesConcept,Description,Concept
