idRelationType,idEntity1,idEntity2
2749814,2747905,2747924
2749814,2747906,2747925
2749814,2747907,2747939
2749814,2747908,2747960
2749814,2747909,2747951
2749814,2747910,2747951
2749814,2747911,2747977
2749814,2747912,2747967
2749814,2747913,2747912
2749814,2747914,2747966
2749814,2747915,2747914
2749814,2747916,2747967
2749814,2747917,2747912
2749814,2747918,2747919
2749814,2747919,2747967
2749814,2747920,2747919
2749814,2747921,2747949
2749814,2747923,2747919
2749814,2747925,2747924
2749814,2747926,2747916
2749814,2747927,2747905
2749814,2747928,2747973
2749814,2747929,2747919
2749814,2747930,2747914
2749814,2747932,2747967
2749814,2747934,2747916
2749814,2747935,2747919
2749814,2747936,2747919
2749814,2747937,2747946
2749814,2747937,2747948
2749814,2747938,2747919
2749814,2747939,2747924
2749814,2747941,2747909
2749814,2747941,2747948
2749814,2747942,2747966
2749814,2747943,2747916
2749814,2747944,2747977
2749814,2747945,2747961
2749814,2747946,2747907
2749814,2747947,2747966
2749814,2747948,2747907
2749814,2747948,2747952
2749814,2747949,2747952
2749814,2747950,2747960
2749814,2747951,2747952
2749814,2747952,2747939
2749814,2747953,2747952
2749814,2747954,2747967
2749814,2747955,2747919
2749814,2747956,2747965
2749814,2747957,2747925
2749814,2747958,2747955
2749814,2747959,2747924
2749814,2747960,2747905
2749814,2747961,2747919
2749814,2747962,2747919
2749814,2747963,2747916
2749814,2747964,2747927
2749814,2747965,2747924
2749814,2747966,2747907
2749814,2747966,2747967
2749814,2747967,2747939
2749814,2747968,2747960
2749814,2747969,2747946
2749814,2747969,2747966
2749814,2747970,2747961
2749814,2747971,2747960
2749814,2747973,2747951
2749814,2747974,2747926
2749814,2747975,2747919
2749814,2747977,2747965
2749814,2747978,2747960
2749814,2747979,2747965
2749814,2747980,2747912
2749814,2747981,2747943
2749814,2747982,2747955
2749814,2747983,2747965
