 name,nameInverse,parent_property
acts_for,acts_through,associated_with
associated_with,associated_with,
coparticipates_with,coparticipates_with,associated_with
directly_follows,directly_precedes,follows
far_from,far_from,associated_with
follows,precedes,associated_with
has_common_boundary,has_common_boundary,associated_with
includes_part,,is_setting_for
includes_whole,,is_setting_for
is_about,is_reference_of,associated_with
is_action_included_in,includes_action,is_event_included_in
is_agent_included_in,includes_agent,is_object_included_in
is_agent_involved_in,involves_agent,is_participant_in
is_characterized_by,characterizes,associated_with
is_classified_by,classifies,associated_with
is_component_of,has_component,is_propert_part_of
is_concept_expressed_by,expresses_concept,is_expressed_by
is_concept_used_in,uses_concept,associated_with
is_conceptualized_by,conceptualizes,associated_with
is_concretely_expressed_by,concretely_expresses,associated_with
is_constituent_of,has_constituent,associated_with
is_constraint_for,has_constraint,classifies
is_covered_by,covers,associated_with
is_defined_in,defines,is_concept_used_in
is_described_by,describes,associated_with
is_event_included_in,includes_event,has_setting
is_executed_in,executes_task,classifies
is_expanded_in,expands,is_related_to_description
is_expressed_by,expresses,associated_with
is_introduced_by,introduces,associated_with
is_location_of,has_location,associated_with
is_member_of,has_member,associated_with
is_object_included_in,includes_object,has_setting
is_observable_at,is_time_of_observation_of,has_region
is_parameter_for,has_parameter,is_related_to_concept
is_parametrized_by,parametrizes,is_classified_by
is_part_of,has_part,associated_with
is_participant_in,has_participant,associated_with
is_postcondition_of,has_postcondition,directly_follows
is_precondition_of,has_precondition,directly_precedes
is_propert_part_of,has_proper_part,is_part_of
is_quality_of,has_quality,associated_with
is_realized_by,realizes,associated_with
is_reference_of_information_realized_by,realizes_information_about,associated_with
is_region_for,has_region,associated_with
is_role_defined_in,defines_role,is_defined_in
is_role_of,has_role,classifies
is_satisfied_by,satisfies,associated_with
is_setting_for,has_setting,associated_with
is_specialized_by,specializes,associated_with
is_subordinated_to,is_superordinated_to,directly_follows
is_task_defined_in,defines_task,is_defined_in
is_task_of,has_task,is_related_to_concept
is_time_included_in,includes_time,has_setting
is_time_interval_of,has_time_interval,is_region_for
is_unified_by,unifies,associated_with
near_to,near_to,associated_with
overlaps,overlaps,associated_with
realizes_self_information,,realizes_information_about
same_setting_as,same_setting_as,associated_with
