acts_for,acts_through
associated_with,associated_with
coparticipates_with,coparticipates_with
directly_follows,directly_precedes
far_from,far_from
follows,precedes
has_common_boundary,has_common_boundary
includes_part,null
includes_whole,null
is_about,is_reference_of
is_action_included_in,includes_action
is_agent_included_in,includes_agent
is_agent_involved_in,involves_agent
is_characterized_by,characterizes
is_classified_by,classifies
is_component_of,has_component
is_concept_expressed_by,expresses_concept
is_concept_used_in,uses_concept
is_conceptualized_by,conceptualizes
is_concretely_expressed_by,concretely_expresses
is_constituent_of,has_constituent
is_constraint_for,has_constraint
is_covered_by,covers
is_defined_in,defines
is_described_by,describes
is_event_included_in,includes_event
is_executed_in,executes_task
is_expanded_in,expands
is_expressed_by,expresses
is_introduced_by,introduces
is_location_of,has_location
is_member_of,has_member
is_object_included_in,includes_object
is_observable_at,is_time_of_observation_of
is_parameter_for,has_parameter
is_parametrized_by,parametrizes
is_part_of,has_part
is_participant_in,has_participant
is_postcondition_of,has_postcondition
is_precondition_of,has_precondition
is_propert_part_of,has_proper_part
is_quality_of,has_quality
is_realized_by,realizes
is_reference_of_information_realized_by,realizes_information_about
is_region_for,has_region
is_role_defined_in,defines_role
is_role_of,has_role
is_satisfied_by,satisfies
is_setting_for,has_setting
is_specialized_by,specializes
is_subordinated_to,is_superordinated_to
is_task_defined_in,defines_task
is_task_of,has_task
is_time_included_in,includes_time
is_time_interval_of,has_time_interval
is_unified_by,unifies
near_to,near_to
overlaps,overlaps
realizes_self_information,null
same_setting_as,same_setting_as
