idFrame,name,Count
58,Auto_movimento,15
60,Percepção_ativa,12
157,Prédios,11
278,Pessoas,9
398,Veículo,9
171,Locais_naturais,8
183,Vias,8
374,Artes_performáticas,8
491,Idade,8
756,Obras_de_arte_físicas,8
272,Texto,7
169,Subpartes_de_prédios,6
175,Locais_políticos,6
176,Locais_por_uso,6
618,Campos,6
123,Vestuário,5
1190,Proximidade_não_graduável,5
30,Gesto,4
94,Agregado,4
390,Artefato,4
524,Pessoas_por_vocação,4
178,Agir_intencionalmente,3
234,Construir,3
252,Alimentos_e_bebidas,3
359,Intoxicantes,3
535,Origem,3
748,Deslocamento_intencional,3
791,Dinheiro,3
172,Local,2
179,Relação_locativa,2
356,Ingerir_substância,2
492,Pessoas_por_idade,2
623,Alcance,2
956,Causar_perceber,2
996,Impressão,2
1029,Subpartes_de_artefato,2
1187,Plantas,2
1253,Serviços_em_alimentação,2
1375,Partes_do_corpo,2
1414,Móveis,2
1423,Serviço_em_alimentação,2
3,Movimento,1
11,Movimento_corporal,1
13,Postura,1
48,Chegar,1
49,Causar_movimento,1
51,Partir,1
63,Fazer_barulho,1
76,Cenário_do_comércio,1
93,Relações_pessoais,1
95,Parentesco,1
101,Cenário_da_educação,1
113,Atividade,1
114,Evento_social,1
146,Trajar,1
156,Comércio_vender,1
238,Ingestão,1
255,Criar_intencionalmente,1
288,Vir_a_existir,1
295,Empregar,1
326,Desejabilidade,1
338,Desejar,1
354,Sofrer_ferimento_corporal,1
382,Intérpretes_e_papéis,1
384,Danificar,1
392,Cor,1
454,Reunir-se,1
462,Fazer_cara,1
466,Causar_fazer_barulho,1
483,Ser_localizado,1
486,Atributos_mensuráveis,1
490,Peça_arquitetônica,1
515,Padrão_temporal,1
757,Criar_representação,1
828,Abertura,1
846,Local_animado,1
858,Locais_por_evento,1
957,Representação,1
1063,Revolução,1
1140,Nível_de_luz,1
1197,Colocação_espacial,1
1441,Instrumentos_musicais,1
1441,Instrumentos_musicais,1
